track_name#artist_name#lyrics
Selva#La Portuaria#"[Letra de ""Selva""]

[Estribillo]
¡Selva!
Ruido de animales salvajes
¡Jungla!
Baila, baila
Baila hasta salir de tu cuerpo
Danza, danza
Somos animales en celo

[Verso 1]
Voy buscando un oasis
Donde nadar
Si tu cuerpo se enfría
Buscas calor
Va bailando mi corazón
Siento risa, siento temor
Hay un mundo distinto
Selva y dolor

[Estribillo]
¡Selva, selva!
¡Jungla!
Ruido de animales salvajes
Ruge tantor
Ruge tantor, Terán, tantor de acero
Danza, danza
Somos animales en celo

[Verso 3]
Voy buscando un oasis
Donde nadar
Si tu cuerpo se calla
Busca parar
Va bailando mi corazón
Siento risa, siento temor
Hay un mundo distinto
Selva y dolor
Va bailando mi corazón
Siento risa, siento temor
Hay un mundo distinto
Selva y dolor

[Verso 4]
Voy buscando un oasis
Donde nadar
Si tu cuerpo se enfría
Buscas calor
Va bailando mi corazón
Siento risa, siento temor
Hay un mundo distinto
¡Selva!"
Un dia cualquiera (el bar de la calle rodney)#La Portuaria#"Salgo a caminar sin rumbo, en un día cualquiera
Pero un día cualquiera puede ser mucho más
Hacia la parte de atrás del cementerio
Cruzando el parque, llego a un bar;

Hay sólo hombres que beben vino y fuman tabaco
Pero en el aire hay algo especial
Es pleno invierno, pero una ola de calor invade
Como sucede a veces, en toda mi ciudad
Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar...
Perdiendo el tiempo, perdiendo el tiempo
Yo voy a viajar

Un hombre se me acerca y me declara
Que el era actor en un teatro principal!
Y se decide a mostrarme sus virtudes
Interpretando un personaje singular

Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar...
Perdiendo el tiempo, perdiendo el tiempo
Yo quiero viajar
Adoro descansar, entre la gente
Charlar o dibujar
Sentado en cualquier bar
(En cualquier lugar)

Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar!"
