track_name#artist_name#lyrics
Para No Olvidar#Los Rodríguez#"[Letra de “Para No Olvidar”]

De un tiempo perdido, a esta parte esta noche ha venido
Un recuerdo encontrado para quedarse conmigo
De un tiempo lejano, a esta parte ha venido esta noche
Otro recuerdo prohibido, olvidado en el olvido

Sentimentalmente para remediarlo
Voy a quedarme contigo para siempre
Pero puede que te encuentre últimamente
Entre tanto me confundo con la gente, oh oh oh
Sentimentalmente nuestro por ahora, oh oh oh
Es el nido que el olvido ha destruido, oh oh oh
Y si el viento me devuelve a tus orillas, oh oh oh
Serenamente, será dormido
Serenamente, será dormido

De un tiempo lejano a esta parte ha venido perdido
Sin tocarme la puerta, recuerdo entrometido
De un tiempo olvidado ha venido un recuerdo mojado
De una tarde de lluvia, de tu pelo enredado

Como siempre que se cambian los papeles
Voy a quedarme dormido en tu cintura
Y si me despierta el día presumido
Déjame quedarme un poco en las alturas, oh oh oh
Para qué contar el tiempo que nos queda (que nos queda)
Para qué contar el tiempo que se ha ido (que se ha ido, oh oh oh)
Si vivir es un regalo y un presente
Mitad despierto, mitad dormido
Mitad abierto, mitad dormido
[Break Instrumental]

Solo sé que no sé nada de tu vida
Solo me colgué una vez en el pasado
Presenté mis credenciales a tu risa
Y me clavaste una lanza en el costado, oh oh oh
Creo que no te dejé jugar con fuego (jugar con fuego)
Sólo nos dijimos cosas al oído, oh oh oh
Y si un día te encontrare una mañana
Será posible, será dormido
Será posible, será dormido

Y si un día te encontrare una mañana
Será posible, será dormido
Será posible, será dormido"
Sin Documentos#Los Rodríguez#"[Letra de ""Sin Documentos""]

[Verso 1]
Déjame atravesar el viento sin documentos
Que lo haré por el tiempo que tuvimos
Porque no queda salida, porque pareces dormida
Porque buscando tu sonrisa estaría toda mi vida

[Pre-Estribillo]
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar

[Verso 2]
Déjame que te cierre esta noche los ojos
Y mañana vendré con un cigarro a la cama
Porque no tengo más intenciones que seguir
Bebiendo de esta copa que no está tan rota

[Pre-Estribillo]
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar

[Estribillo]
Porque sí, porque sí, porque sí
Porque en esta vida
No quiero pasar un día entero sin ti
Porque sí, porque sí, porque sí
Porque mientras espero
Por ti me muero y no quiero seguir así
[Verso 3]
Déjame atravesar el viento sin documentos
Que lo haré por el tiempo que tuvimos
Porque no queda salida, porque pareces dormida
Porque buscando tu sonrisa estaría toda mi vida

[Pre-Estribillo]
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar

[Estribillo]
Porque sí, porque sí, porque sí
Porque en esta vida
No quiero pasar más ni un día entero sin ti
Porque sí, porque sí, porque sí
Porque mientras espero
Por ti me muero y no quiero seguir así

[Pre-Estribillo]
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar

